p.android.gm,p.android.documentsui,p.system,p.android.externalstorage,p.android.settings,p.android.chrome,c.katana,c.dogalize,c.android.chrome
13.03907,13.61975,12.67497,12.34249,5.55968,8.32535,14.42628,12.63376,8.58465
15.39343,9.24003,13.97785,10.50405,5.83347,10.06603,13.18983,11.61872,9.46713
12.99476,12.25657,10.25887,14.40511,9.8966,11.74018,11.44342,8.74987,7.4241
7.79778,11.49399,11.57508,12.86236,6.82986,13.77379,9.71744,10.032,11.0217
8.15072,8.64063,10.29845,10.5297,14.22366,7.01209,4.32392,6.33154,15.2289
8.29006,11.47798,9.7343,9.49191,11.31995,5.26833,10.91408,11.25019,4.22363
15.74663,11.12848,11.71618,10.5786,8.14268,7.44807,10.42475,11.02194,5.93736
8.06256,9.96977,11.9895,10.49356,7.884,13.30858,8.92042,11.58987,12.07377
7.89434,7.5933,8.87181,12.49636,11.52353,10.87405,7.6249,8.53977,12.85165
13.37516,9.99099,13.44813,13.15026,8.26376,6.83442,14.86996,16.45403,6.98578
14.78655,10.99399,12.64997,5.5802,11.41103,7.13598,7.12296,9.96195,8.58855
13.18169,9.49199,12.04268,10.79022,8.61228,11.10674,11.03777,14.82654,8.56499
1.52934,8.94432,10.64443,9.61744,14.44485,4.95107,11.95108,13.67028,9.39442
12.41219,8.05772,12.92852,9.84625,7.8805,10.23141,15.13198,16.19685,8.91422
6.38532,7.27787,12.10616,11.39282,10.22691,12.34734,10.66405,12.68567,12.34858
9.55041,7.75408,9.17865,13.161,12.89746,9.98252,8.01303,9.33645,11.57513
8.69248,11.15315,11.04755,12.9064,7.51898,11.48703,9.71952,10.51395,9.24146
14.78536,9.48203,9.93276,10.20807,3.55227,8.30419,12.30179,11.42581,8.97809
8.70321,7.62314,12.47648,11.45702,8.03343,12.3392,9.32349,12.90359,13.58629
9.95146,8.00808,9.5205,12.67266,11.47107,8.60397,12.43044,10.07027,9.33008
8.62245,9.59909,11.71947,10.70354,7.88452,12.25533,5.70102,9.31424,11.14431
9.08591,6.68225,13.9994,14.49148,7.9816,12.69218,8.74072,14.3076,14.30756
8.70177,7.8853,11.73937,12.71499,8.87019,12.66532,9.82844,12.39194,13.14979
6.9813,5.61604,13.05283,15.7391,4.16805,15.74341,6.685,14.63765,13.27763
2.89183,9.57457,8.50185,7.71514,13.4215,6.99465,12.54493,12.97066,9.93738
9.60291,13.88621,11.20018,13.89747,12.07033,6.05676,10.10939,12.3328,7.86493
11.23462,8.80348,14.03481,7.2868,9.46078,8.74763,14.05125,10.72587,8.64337
9.9216,13.82162,14.62725,13.37277,7.86025,9.32047,10.47937,14.19572,9.28948
9.86639,8.66769,9.18415,10.13343,13.42228,10.20075,5.5003,7.08028,14.22884
8.40337,10.78462,8.61038,11.99517,12.39863,9.77194,10.34434,9.28312,13.12973
3.00369,6.15641,9.94759,12.23753,14.93714,8.90395,6.35923,9.86033,13.43041
9.22188,9.81347,8.04304,13.71062,11.52313,9.34554,8.4129,9.12653,12.10177
8.91098,10.64933,7.35766,11.39399,11.31483,5.27479,15.10912,12.47571,7.25325
15.56926,11.80468,9.89334,14.12734,9.00458,10.38517,10.86381,13.73744,8.24588
12.60163,7.3195,8.03536,10.92488,11.45813,8.11743,12.09869,8.23399,9.21671
11.96719,8.83432,9.85653,11.45144,9.73382,6.96447,12.44308,14.07414,5.16272
7.65901,10.40439,12.74549,11.65831,8.57575,11.10825,11.12561,12.64683,12.12302
12.46416,7.20846,16.55708,7.22796,11.335,9.39429,12.71616,12.04935,9.62827
9.26525,8.93808,9.29884,12.0626,12.76174,8.7241,7.92765,8.1904,12.77199
6.06322,5.50831,10.2204,14.34592,9.3894,15.30651,4.66035,10.64423,13.10857
8.54491,9.09271,7.25259,13.32448,11.69521,6.83088,8.01406,6.53325,13.94697
8.96101,8.25453,12.51284,13.18128,9.3798,13.48032,8.71116,13.69533,13.92368
9.16327,10.54746,6.96747,9.53006,13.04514,5.75772,13.21092,9.57969,9.20323
13.8822,7.99397,7.94807,8.55061,6.88309,11.82104,9.98663,12.28805,9.90088
10.12077,9.46286,8.02958,15.09168,11.13214,10.13687,9.12526,8.46109,13.00911
12.14981,5.29708,8.6621,12.68259,10.84878,10.27674,8.50544,6.79639,12.30456
10.76206,8.50947,11.70712,8.09905,7.60349,10.07204,13.25402,12.4926,11.72633
10.19569,9.6896,15.1131,10.42943,10.96653,11.53496,9.25434,14.30106,13.30125
16.24258,9.87444,11.26638,13.72335,6.82018,9.33162,13.72037,13.95647,7.79805
12.59265,11.01509,11.67354,12.0095,8.98003,9.35658,10.31719,13.8281,10.25819
9.72282,7.98883,11.30064,9.04394,13.35634,5.56075,8.84157,8.99846,10.18964
11.0817,9.14651,14.41814,7.89012,13.87845,11.20161,8.00481,11.41609,15.87171
13.81417,9.56744,12.80543,6.81306,8.06569,9.09541,10.56188,12.05782,10.8425
11.57914,10.06332,12.21097,5.70598,5.0121,10.26915,13.4522,9.14025,12.62207
9.17,11.69772,15.37928,10.12521,11.98017,11.50773,11.87029,13.74436,13.91102
10.02464,11.11703,8.91783,13.58063,10.61902,6.65074,8.34994,9.69332,9.469
7.13496,9.46261,7.6435,13.07212,12.71262,11.76498,7.58237,8.26103,15.52699
9.42791,18.24944,12.06625,14.96969,11.52239,12.2468,11.04763,8.08763,6.9002
7.65992,9.41649,13.82904,14.48207,8.80807,10.11853,12.61153,15.85788,14.09595
8.88794,14.48203,11.5914,13.00913,11.55339,6.10532,13.17506,10.3038,6.18446
12.6566,7.47399,10.08065,14.22635,11.09561,9.55137,7.16786,6.99786,12.43811
4.43947,7.83042,11.42846,10.63409,13.26086,8.38851,7.5806,11.4629,12.64047
11.52986,9.53418,14.18723,9.56465,9.6967,10.98151,5.56597,11.71051,13.67975
9.12123,10.18005,9.60956,9.94826,13.33128,4.24973,11.61497,9.37651,8.61304
10.68974,7.19541,11.46254,8.53766,12.45885,14.00392,6.72051,9.93391,15.24649
7.73,6.10819,5.23439,12.85239,10.38986,13.11401,11.2439,9.30673,13.27256
11.04304,6.68957,8.95267,10.90199,12.99535,6.99996,10.02526,6.58734,13.54947
10.81973,4.18808,9.4186,12.12509,11.63198,9.47709,7.578,6.55011,13.62319
12.19984,11.69398,12.44312,7.30234,13.20806,7.79519,10.70912,11.99753,6.12173
12.70984,12.20658,10.62695,15.33779,7.56626,10.0533,9.72546,13.62115,6.72266
7.44555,8.01699,10.61086,11.68263,9.31095,11.4925,10.22989,12.66579,11.03169
7.29457,6.80917,9.78283,14.75471,12.99235,13.53395,6.34041,9.03162,16.147
14.21317,11.84856,14.24388,8.98233,3.89702,8.73085,15.24751,13.10136,12.98643
4.80149,14.8673,6.49884,11.02998,11.24879,7.71942,12.11321,13.19198,10.93473
9.41298,7.4329,10.56893,11.1574,11.8305,12.70306,8.8724,9.74708,13.93637
6.03565,9.80077,7.94127,13.04229,12.45825,9.81839,8.65954,9.64212,12.87024
7.39285,10.48794,9.13553,13.77549,11.77092,8.44337,9.0038,11.03491,11.3119
14.04879,7.88878,11.66806,10.09886,7.02834,7.21188,13.46825,13.62698,7.69157
9.104,8.73546,11.13629,13.73103,6.65262,13.61977,11.4687,12.0076,9.96699
9.16057,8.69348,10.58258,12.67484,9.5288,12.30777,7.64043,10.60879,10.42998
6.08576,5.70004,11.00258,14.46014,15.12233,11.1168,8.78602,9.05261,16.05581
12.31168,8.82267,13.22711,7.507,9.30261,9.16905,11.22792,12.29823,10.14918
15.9131,9.03056,11.67163,11.76721,7.6413,6.67038,10.12012,13.82243,6.20864
12.56926,13.24006,9.66644,12.28174,10.32923,7.11229,14.56813,8.61887,8.35542
9.58034,8.22791,9.52178,16.38483,10.71348,11.51948,5.63996,7.3023,15.46563
7.84985,6.59419,12.58828,15.0294,8.64279,14.61885,10.24715,12.8267,15.68692
7.11973,8.58882,8.03044,10.09275,12.07094,8.31416,10.65695,10.61978,11.29769
11.28252,10.4724,9.53153,9.8026,10.28345,11.01778,11.38293,15.34171,9.18988
10.43632,8.99318,11.42198,9.74761,9.41927,10.27942,11.95277,11.1461,9.29206
9.36919,15.01748,11.36821,15.60388,10.43343,11.43878,12.31176,12.49877,6.0956
14.41244,8.51827,7.05493,12.1273,10.56984,10.87151,10.36563,7.51498,11.48509
14.73513,10.2854,12.88567,7.23367,6.69086,8.28363,11.50098,12.52495,12.35636
9.74205,11.91542,12.88064,12.87518,7.32573,10.36757,11.15871,12.65482,9.45473
10.94937,11.39043,10.09986,12.47342,7.71237,6.82208,13.12899,12.94507,7.02068
9.44346,8.99923,10.59555,12.98525,13.20083,7.93995,7.4157,8.56147,12.41574
8.25947,10.08712,13.99684,13.50964,7.02474,9.43936,11.25989,13.56364,10.97153
3.66608,4.81646,9.11758,16.65625,4.9148,12.03484,6.5252,13.54516,7.03088
14.81538,13.79029,13.33245,10.64191,5.06722,12.72354,13.92674,11.76453,12.12643
12.69668,9.20997,11.26031,9.88544,7.9137,10.35119,11.97983,11.38773,12.08136
15.26857,10.63948,15.93554,13.56964,7.69203,9.11019,13.66777,15.36738,9.15751
9.19432,6.22521,11.0587,11.99894,13.39898,6.85559,6.96386,7.51583,12.08098
12.8669,10.91775,10.50554,8.00524,8.57207,10.43674,11.18205,10.0353,9.31531
11.69199,15.61398,10.68929,13.88658,10.17865,9.40869,15.49258,9.22957,7.14859
5.45107,8.95961,14.10677,14.45546,6.57821,10.28187,10.27649,16.24701,11.227
6.08764,9.57918,7.76045,10.09918,14.12816,10.66285,7.21166,8.30955,16.3626
13.60271,11.15432,9.61843,12.61143,8.01283,4.83412,14.51358,12.4295,6.79792
11.48464,9.22954,9.97515,10.08201,12.58043,5.54035,12.45386,9.40364,8.07339
12.5634,4.70157,10.37806,14.28991,11.46296,7.85797,9.14299,6.12455,11.05914
2.57839,7.30587,8.84915,13.08874,12.26865,9.70925,8.31032,11.76096,12.43082
12.03161,12.59452,10.25259,12.78672,9.33907,8.72452,14.31282,14.06861,5.92305
8.31741,7.71978,13.02699,12.16521,6.86367,13.44342,7.54205,12.29845,14.26176
7.00595,8.45513,9.1037,9.56172,12.88895,5.15859,12.31929,11.06496,7.5098
8.99532,7.85702,12.59021,10.63476,9.38349,12.90208,9.63901,13.38816,13.95832
7.80248,9.36883,8.53805,10.79315,13.525,7.85391,11.12963,9.55474,10.7145
12.39249,12.00061,10.39905,12.09953,7.28196,11.00479,11.7517,11.01873,6.74477
11.36297,9.40318,11.70454,10.8505,10.65519,11.61293,13.35058,13.22529,9.84555
9.02248,7.55712,9.90411,13.51693,12.2188,10.36662,5.70437,7.8887,14.65355
9.48205,8.05545,8.69283,12.38836,11.92778,7.88522,9.66582,9.40388,10.0751
14.33925,7.21816,8.46633,13.48834,12.25542,11.91813,10.26164,6.95809,13.24912
11.23175,8.37541,12.94791,13.39014,8.89426,12.43536,8.80209,12.5315,14.34024
9.92144,12.492,8.76411,9.23858,13.34857,5.83333,12.13822,10.16279,9.86325
10.62314,7.30176,7.4626,13.59641,13.25921,11.15206,7.95499,6.67266,13.97213
5.45441,9.46106,8.13445,11.32847,13.78092,9.44058,9.47368,10.57534,12.42352
9.05172,8.70436,12.05282,15.03445,6.85814,10.88572,10.81918,13.41861,9.04854
7.63277,9.16846,11.84315,13.97968,9.68445,11.31843,9.55192,10.99803,12.27717
7.8823,8.18713,10.17791,11.46018,12.97166,7.33827,6.05146,7.79465,12.77429
9.77721,15.70468,10.93754,13.68568,11.59526,6.42896,17.3965,10.40873,6.64878
17.05527,8.3829,13.38541,11.93609,9.26355,9.03628,11.42784,15.10983,5.81798
5.68462,8.44977,7.90649,10.19066,14.50501,6.78909,12.23559,8.576,13.22838
8.00488,6.35987,10.96165,10.5601,13.06746,11.71921,9.80532,11.75244,14.25415
10.18053,8.65176,12.43193,12.74272,10.22665,10.1212,7.78835,14.26437,10.92471
3.54893,8.41994,7.86047,11.85176,13.56561,13.11603,7.91985,10.49121,16.14723
8.09853,9.4929,9.53452,16.50457,11.70205,8.20173,5.46629,9.04375,11.4439
11.43144,10.5185,11.06706,11.69677,8.67433,13.17459,10.55456,10.39913,11.45099
10.09324,12.70473,10.91639,12.32653,11.77625,9.50676,12.16928,11.5365,6.27904
7.1846,4.46109,12.05171,14.5622,6.777,15.60012,3.22639,11.94176,14.53131
7.1703,9.43371,8.99448,13.29867,12.78076,10.63202,10.77275,12.16326,11.53686
9.5838,8.17158,10.22344,11.73121,10.47327,14.35477,9.18753,9.85661,12.91494
11.13332,8.58751,11.4983,8.307,14.51741,5.45791,7.43477,7.92069,10.93826
9.14842,9.7045,8.99167,10.27284,9.50048,6.47586,10.22312,12.28467,7.34155
9.85114,8.64541,9.57988,10.0351,6.79776,6.20799,15.03011,11.82888,4.59882
8.00087,6.0338,8.40039,13.70841,12.83613,11.46381,4.63445,7.33516,14.38949
12.69129,10.66604,12.46815,7.67227,6.13524,11.87277,13.14407,12.46861,12.98859
9.39092,9.88285,13.49287,14.20627,9.73085,13.55175,7.21661,12.9968,12.24611
11.74329,8.08582,13.56758,8.50682,11.89476,6.957,13.29095,11.1181,5.83941
10.7439,7.66246,8.82018,10.75354,12.66453,8.70563,10.69772,6.40834,13.6808
10.28882,9.08037,13.21246,9.0982,10.42422,12.04578,9.63443,10.4024,15.10106
6.67006,9.18923,9.66519,13.10767,10.64607,7.00806,10.57245,12.90478,7.82441
8.85007,6.41649,11.21103,8.90949,7.76466,8.68148,15.24814,12.28466,7.31257
8.83195,8.67132,14.31123,13.92552,8.28991,10.03135,8.30422,15.21293,11.98069
9.84619,13.70673,7.27977,13.93619,6.27426,8.84949,13.7848,17.20093,1.42667
8.88565,7.6182,12.08289,13.36375,8.06572,12.74133,11.14256,13.07005,15.3925
10.47674,8.79179,12.56727,13.24342,6.51231,13.55504,7.41933,10.09995,13.43456
14.23952,10.14729,10.72801,14.77311,8.94186,8.53463,12.82313,14.50156,7.75999
10.0876,9.57252,8.29114,13.34473,11.86669,8.40232,9.6149,8.35174,11.42648
6.57221,8.03461,8.17141,11.60777,13.02391,7.83547,8.0276,8.88085,12.05534
10.88878,11.06136,5.64366,13.71699,11.34139,10.30065,9.08995,6.48383,14.47139
10.8471,7.1549,12.09766,8.94644,5.06755,8.9462,15.26251,11.8087,7.1512
9.07717,8.82585,8.91761,11.83284,12.24955,8.40077,9.09476,10.76755,10.22728
5.57789,9.68401,7.10562,11.92505,13.15052,8.99846,9.67314,9.82641,13.40936
7.47426,8.47944,12.47447,11.79982,10.53515,13.37508,7.85353,12.26208,17.20851
4.81094,10.775,10.42456,14.21551,12.26972,9.43209,8.08465,12.45369,11.91016
12.21842,16.47533,12.87474,14.6793,11.81202,6.2367,12.43265,8.09482,7.02582
6.19098,7.6156,8.5032,10.08478,14.11468,6.10735,9.29903,8.15217,11.72997
10.93871,11.54698,12.48998,11.03858,7.60692,11.96253,9.2043,12.67072,8.99964
8.49125,7.79667,9.97251,12.30217,11.78014,10.56891,7.86137,10.36979,12.16137
13.06824,14.41143,11.11356,15.26713,5.63748,11.86276,10.88339,12.43026,7.98731
9.21495,9.62389,9.44477,13.03107,12.28893,8.56683,8.51249,9.23837,12.03349
12.26961,12.5039,15.05185,12.61656,10.89345,7.83438,11.50387,12.37313,7.17997
8.35782,7.49804,11.64519,11.8151,7.26609,11.47018,8.96992,10.98748,12.92086
9.59149,11.32765,10.38512,13.1279,10.27325,12.2414,10.42006,8.48802,11.06709
7.77976,8.5182,7.77249,11.84054,11.21515,11.38551,10.12026,11.30014,10.85412
8.28542,7.90337,10.58995,14.48988,6.60629,13.00125,8.55718,11.47036,10.50675
11.98455,8.40958,11.39365,9.20107,9.00502,8.8975,10.62472,14.90451,7.79387
8.85223,7.81644,10.67979,11.18662,6.41833,13.97595,8.07183,11.62148,9.41852
2.1273,8.83627,7.37802,11.98269,11.3055,8.78991,12.78048,12.74589,11.0012
8.43642,12.93787,9.94785,12.74875,9.25878,9.462,15.15217,10.74744,5.34195
8.35404,11.55231,8.64782,7.159,15.60657,5.57182,9.70158,8.29818,12.00981
10.74905,5.10639,6.66702,15.47308,10.5614,9.8222,10.7656,7.15083,11.8513
10.33956,10.27193,13.34457,10.66605,11.7583,12.22883,7.62582,11.97369,12.34305
15.45914,11.30647,11.32258,10.30684,6.80589,6.89556,13.62831,12.34357,9.64623
6.91579,8.553,12.37903,13.03571,10.07221,11.596,9.62066,12.24637,13.52889
6.87902,9.96195,9.11487,10.16567,14.7076,8.43664,10.028,8.41158,14.30487
12.33674,9.4958,13.33975,7.82767,12.41194,8.74232,10.20942,12.41466,10.37873
10.80878,10.92763,12.8931,11.28071,8.08773,14.26619,9.6701,12.98186,11.66811
10.37788,11.36336,5.71002,15.66714,10.07731,12.92167,7.35844,9.12658,13.67869
10.91791,7.46917,10.31165,12.98711,12.28447,9.13152,7.45975,8.46734,11.27759
11.84171,10.15627,9.83537,9.59516,7.9693,10.17132,12.91822,14.49007,8.7106
10.04022,13.8544,12.66284,15.04879,12.12785,8.92763,10.31759,11.17911,9.2258
9.89814,13.05304,12.58681,11.34628,8.98325,9.67522,11.48832,15.49015,10.65083
11.80458,9.97047,11.40466,9.87613,9.64168,9.58028,13.74309,13.48491,7.43441
7.93633,11.63306,6.21138,13.79686,11.63137,11.2984,7.33818,9.48887,13.88422
8.39175,8.45381,13.99795,5.88859,10.46113,9.64833,13.44066,12.36855,11.52758
9.26095,7.18383,11.82729,10.41204,12.99909,9.57507,6.30904,11.88543,13.37625
9.58044,10.27072,12.73411,8.73641,9.8833,11.73408,7.53877,9.96859,13.47277
6.93091,9.73048,12.23609,12.32626,7.51876,11.35227,8.66032,10.14649,11.85715
13.49929,16.11414,14.40671,12.71507,9.382,10.34441,12.25058,9.78506,10.40234
15.16995,7.6043,10.27273,13.66097,12.66942,10.14939,5.25368,5.06339,14.14764
8.58325,7.65063,13.59146,13.24014,10.7364,10.11608,7.01417,14.62651,13.98377
10.31216,9.16206,10.42465,8.81267,11.88435,12.8399,7.84151,7.62726,12.149
10.81657,6.79809,9.42307,15.38223,13.8893,15.91037,2.71407,5.7382,18.78236
10.92294,7.76592,11.73675,11.52449,8.56175,13.62138,6.50595,11.48586,13.86181
12.36541,14.05671,15.34532,11.84568,6.03764,4.37232,10.70608,10.18581,8.95871
9.03951,5.11137,12.35455,11.44424,8.59247,11.11485,9.33461,12.85733,16.36117
7.84037,8.7523,14.04427,12.17446,8.15595,12.71841,10.00749,15.44071,13.24972
12.10761,9.84678,9.21517,12.12815,11.31964,7.42086,10.32096,8.79099,9.78739
6.92848,8.42248,11.71633,14.28898,5.48932,15.30438,6.94747,14.02624,8.55458
4.24477,10.05389,9.92933,9.13338,14.57343,4.21907,11.74585,11.36057,9.59811
14.19494,9.86032,9.93483,13.34941,11.32209,7.73028,9.25255,9.0595,9.02696
10.37898,7.66504,9.96314,13.60505,10.78979,14.99886,9.20721,10.26659,14.26773
5.89741,7.75547,12.4192,16.45608,7.37767,11.25275,10.61342,13.67708,13.06882
6.05982,4.73021,11.78086,14.15057,10.9826,12.8095,6.59628,10.78454,17.6646
11.64707,14.83757,11.47414,15.25699,12.38415,5.10235,12.34624,7.62711,5.00936
12.16112,9.28344,12.63289,5.98592,10.3209,11.69947,11.43473,16.54702,12.39739
9.91401,6.07635,10.91423,14.53455,11.60724,7.31619,9.65048,9.7731,9.30977
13.28629,7.58435,12.93863,9.07423,6.38521,9.20393,12.92356,14.32136,9.45509
12.94654,10.05237,9.7028,12.87359,9.83719,9.67398,12.3601,14.86676,7.0153
9.47522,9.15509,8.98168,14.74039,13.49986,7.70189,8.85255,8.80241,11.8742
7.23984,8.58302,15.05777,15.25129,8.0063,9.1617,12.40034,16.59634,13.06326
